"id_rodada";"nome";"posicao";"custo";"id_oponente";"media_normalizada";"potencial_por_cartoleta";"pontuacao_obtida";"pontuacao_obtida_por_cartoleta";"diferenca"
"29";"Fernando Diniz";"tec";"10.01";"282";"5,12";"0,51";"3.73";"0,37";"-1,39"
"29";"Dorival Júnior";"tec";"10.11";"280";"5,00";"0,49";"4.85";"0,48";"-0,15"
"29";"Vagner Mancini";"tec";"8.28";"354";"4,76";"0,57";"2.83";"0,34";"-1,93"
"29";"Orlando Ribeiro";"tec";"9.29";"285";"4,72";"0,51";"1.46";"0,16";"-3,26"
"29";"Maurício Barbieri";"tec";"10.92";"262";"4,56";"0,42";"4.35";"0,40";"-0,21"
"29";"Guto Ferreira";"tec";"11.07";"276";"4,51";"0,41";"2.35";"0,21";"-2,16"
"29";"Luís Castro";"tec";"9.13";"275";"4,44";"0,49";"3.95";"0,43";"-0,49"
"29";"Juan Vojvoda";"tec";"9.16";"290";"4,20";"0,46";"4.05";"0,44";"-0,15"
"29";"Lisca";"tec";"10.49";"373";"3,98";"0,38";"2.1";"0,20";"-1,88"
"29";"António Oliveira";"tec";"7.24";"264";"3,61";"0,50";"3.65";"0,50";"0,04"
"29";"Mano Menezes";"tec";"10.35";"277";"3,26";"0,32";"6.33";"0,61";"3,07"
"29";"Luiz Felipe Scolari";"tec";"10.12";"286";"3,19";"0,32";"2.54";"0,25";"-0,65"
