"query_id_rodada","query_orcamento","query_posicao","nome","posicao","custo","id_oponente","media_normalizada","potencial_por_cartoleta","pontuacao_obtida","pontuacao_obtida_por_cartoleta","diferenca","rank"
"2","4.0","gol","Hugo Souza","gol","3.88","276","0.56","0.14","0.0","0.00","-0.56","9"
"2","4.0","gol","Jailson","gol","4.37","286","0.45","0.10","2.0","0.46","1.55","4"
"2","4.0","gol","Tadeu","gol","4.92","275","0.37","0.07","-2.0","-0.41","-2.37","10"
"2","4.0","gol","Daniel","gol","4.73","356","0.37","0.08","7.0","1.48","6.63","2"
"2","4.0","gol","Bento","gol","3.3","282","0.34","0.10","10.0","3.03","9.66","1"
"2","4.0","gol","Max Walef","gol","3.16","285","0.22","0.07","0.0","0.00","-0.22","8"
"2","4.0","gol","João Ricardo","gol","2.19","263","0.21","0.10","0.0","0.00","-0.21","7"
"2","4.0","gol","César","gol","2.21","327","0.20","0.09","2.0","0.90","1.80","3"
"2","4.0","gol","Diego Loureiro","gol","2.45","354","0.20","0.08","0.0","0.00","-0.20","6"
"2","4.0","gol","Luan Polli","gol","5.03","280","-0.03","-0.01","0.0","0.00","0.03","5"
"2","8.0","gol","Alex Muralha","gol","7.04","277","0.85","0.12","1.0","0.14","0.15","4"
"2","8.0","gol","Jandrei","gol","7.79","262","0.76","0.10","1.0","0.13","0.24","3"
"2","8.0","gol","Cleiton","gol","9.04","373","0.55","0.06","8.0","0.88","7.45","1"
"2","8.0","gol","Douglas Friedrich","gol","6.22","264","0.09","0.01","1.0","0.16","0.91","2"
"2","12.0","gol","Fábio","gol","10.84","1371","1.60","0.15","3.0","0.28","1.40","3"
"2","12.0","gol","Weverton","gol","11.14","290","1.50","0.13","6.0","0.54","4.50","2"
"2","12.0","gol","Walter","gol","12.45","266","1.21","0.10","8.0","0.64","6.79","1"
"2","12.0","gol","Cássio","gol","10.44","314","0.93","0.09","0.0","0.00","-0.93","4"
"2","4.0","zag","Luciano Castán","zag","5.9","277","2.11","0.36","0.5","0.08","-1.61","12"
"2","4.0","zag","Henrique","zag","5.74","277","2.08","0.36","-0.2","-0.03","-2.28","19"
"2","4.0","zag","Titi","zag","5.31","285","1.82","0.34","0.0","0.00","-1.82","17"
"2","4.0","zag","João Victor","zag","5.5","314","1.27","0.23","2.5","0.45","1.23","9"
"2","4.0","zag","Messias","zag","3.92","263","1.01","0.26","0.0","0.00","-1.01","16"
